Fecha,Temperatura (°C),Viento (km/h)
2023-01-01,15,10
2023-01-02,16,12
2023-01-03,14,8
2023-01-04,13,5
2023-01-05,17,14
2023-01-06,18,11
2023-01-07,16,9
2023-01-08,15,7
2023-01-09,14,6
2023-01-10,13,10
2023-01-11,15,12
2023-01-12,14,8
2023-01-13,16,10
2023-01-14,17,9
2023-01-15,18,11
2023-01-16,19,13
2023-01-17,20,14
2023-01-18,21,12
2023-01-19,22,15
2023-01-20,23,17
2023-01-21,24,18
2023-01-22,25,16
2023-01-23,26,19
2023-01-24,27,20
2023-01-25,28,21
2023-01-26,29,22
2023-01-27,30,23
2023-01-28,31,24
2023-01-29,32,25
2023-01-30,33,26
2023-01-31,34,27
2023-02-01,35,28
2023-02-02,36,29
2023-02-03,37,30
2023-02-04,38,31
2023-02-05,39,32
2023-02-06,40,33
2023-02-07,41,34
2023-02-08,42,35
2023-02-09,43,36
2023-02-10,44,37
2023-02-11,45,38
2023-02-12,46,39
2023-02-13,47,40
2023-02-14,48,41
2023-02-15,49,42
2023-02-16,50,43
2023-02-17,51,44
2023-02-18,52,45
2023-02-19,53,46
2023-02-20,54,47
